@RELATION segments

@ATTRIBUTE seg-0 REAL
@ATTRIBUTE seg-1 REAL
@ATTRIBUTE seg-2 REAL
@ATTRIBUTE seg-3 REAL
@ATTRIBUTE seg-4 REAL
@ATTRIBUTE class {AFIB,ASYS,B,BI,HGEA,N,NOD,PM,SBR,SVTA,VER,VF,VFL,VT}

@DATA
189,140,134,135,133,N
89,83,115,83,167,N
138,82,186,136,88,N
178,135,84,182,141,N
136,134,137,136,135,N
78,188,139,139,136,N
135,136,132,137,83,N
183,140,87,182,138,N
135,137,134,135,136,N
81,190,136,134,136,N
136,138,78,84,78,N
163,140,80,78,112,N
142,131,82,190,138,N
139,134,137,133,134,N
135,87,187,138,81,N
186,139,80,187,139,N
81,191,139,78,189,N
139,88,186,139,79,N
186,138,78,188,139,N
81,188,142,77,194,N
141,79,190,139,80,N
187,139,78,190,175,N
41,192,139,80,195,N
142,77,191,139,78,N
192,140,80,193,137,N
77,188,139,79,194,N
139,80,189,140,80,N
188,142,81,194,141,N
79,190,142,79,75,N
118,136,135,137,137,N
137,138,137,133,82,N
185,143,140,138,136,N
88,177,139,136,138,N
137,82,186,140,132,N
135,138,84,192,138,N
135,136,133,82,189,N
144,136,88,178,141,N
139,138,137,80,185,N
141,134,86,184,141,N
133,87,179,142,135,N
137,136,86,180,139,N
132,87,185,143,133,N
93,174,140,137,87,N
182,139,136,135,132,N
83,186,141,134,88,N
183,140,136,88,182,N
139,135,136,134,97,N
43,129,139,134,84,N
180,140,137,90,180,N
136,133,136,137,104,N
169,141,134,87,180,N
140,137,134,137,133,N
134,134,134,138,136,N
139,133,136,134,135,N
138,137,138,133,136,N
136,136,139,134,137,N
133,133,133,135,137,N
139,135,135,136,135,N
137,134,139,139,134,N
134,132,137,138,138,N
135,135,133,132,135,N
135,135,138,131,136,N
134,133,135,136,136,N
137,133,136,136,131,N
137,137,136,134,133,N
135,136,139,135,134,N
132,136,137,132,134,N
135,136,134,134,135,N
138,140,135,136,131,N
133,133,132,135,137,N
136,134,132,131,135,N
139,136,135,132,137,N
134,136,136,136,139,N
136,133,135,135,138,N
132,137,131,135,136,N
133,137,136,137,131,N
135,135,137,140,136,N
137,131,132,136,133,N
137,133,136,133,132,N
132,134,137,137,136,N
133,138,135,134,136,N
134,139,134,136,134,N
136,138,133,135,130,N
134,135,134,137,134,N
135,129,133,133,135,N
139,138,136,134,131,N
134,135,133,135,138,N
135,136,132,133,135,N
138,135,135,133,133,N
137,132,136,137,133,N
137,134,137,90,184,N
137,133,132,133,140,N
133,86,183,137,136,N
134,132,137,138,88,N
184,135,134,137,135,N
112,162,139,137,135,N
133,82,187,139,134,N
134,133,139,132,92,N
177,139,138,134,136,N
137,90,181,139,132,N
135,135,80,185,141,N
133,133,135,106,161,N
139,134,137,132,85,N
186,138,136,135,138,N
134,134,90,174,140,N
133,136,84,183,137,N
132,135,135,137,134,N
134,134,109,163,139,N
133,135,134,98,169,N
134,135,135,84,180,N
136,135,136,134,136,N
135,87,177,138,135,N
138,89,178,137,133,N
134,93,180,137,134,N
132,91,177,136,134,N
134,132,80,184,137,N
134,136,89,180,137,N
133,138,83,102,79,N
145,134,136,133,135,N
135,137,132,133,133,N
132,136,135,87,182,N
137,137,133,134,113,N
162,135,134,132,132,N
87,175,140,136,135,N
134,98,41,124,136,N
135,134,91,178,137,N
139,132,136,136,135,N
88,178,137,135,135,N
133,113,151,134,136,N
134,135,85,185,136,N
88,175,140,139,135,N
136,80,183,137,130,N
109,160,139,86,179,N
138,136,137,82,182,N
138,135,109,162,137,N
79,186,137,135,135,N
134,137,137,85,177,N
135,83,183,139,136,N
135,84,177,134,136,N
138,136,136,134,89,N
174,137,132,136,137,N
134,82,184,135,83,N
183,134,136,131,86,N
180,135,135,79,80,N
141,70,170,134,81,N
132,61,74,49,143,N
76,74,148,140,70,VFL
140,70,70,70,60,VFL
60,140,130,130,140,N
100,160,140,130,130,N
130,90,180,130,140,N
130,130,90,180,140,N
130,110,150,130,140,N
130,130,90,180,140,N
130,130,130,80,80,N
110,140,130,130,90,N
180,130,140,130,90,N
180,90,170,140,80,N
190,80,180,140,80,N
180,140,130,140,80,N
180,130,140,100,170,N
130,80,80,100,100,N
170,140,80,190,130,N
130,100,170,140,80,N
180,100,170,130,80,N
190,100,170,130,80,N
190,90,180,140,80,N
180,130,130,120,150,N
140,80,180,140,130,N
130,90,180,140,130,N
100,170,130,90,180,N
140,130,120,150,130,N
80,190,130,130,140,N
80,180,140,130,110,N
160,140,80,180,140,N
130,140,130,140,130,N
130,80,180,140,80,N
180,140,80,180,140,N
140,120,150,130,80,N
180,140,130,130,90,N
170,140,130,110,160,N
130,90,170,140,140,N
130,130,140,130,110,N
160,130,80,180,140,N
130,130,140,130,130,N
130,140,130,130,140,N
130,100,170,130,80,N
190,130,90,180,130,N
140,120,150,130,80,N
180,140,140,120,140,N
130,80,190,130,140,N
130,130,130,140,110,N
160,130,90,180,130,N
140,130,130,130,130,N
80,70,80,70,70,VFL
70,80,80,70,80,VFL
130,130,140,130,110,N
150,130,140,130,130,N
100,160,140,80,120,N
60,80,180,140,80,N
180,140,200,190,140,N
80,120,200,130,80,N
180,140,130,130,90,N
180,140,80,180,140,N
80,180,140,80,180,N
140,80,70,110,140,N
130,130,90,180,130,N
90,180,130,90,180,N
140,80,180,140,80,N
70,110,140,130,140,N
80,180,90,180,130,N
80,180,140,80,80,N
110,130,140,130,80,N
180,140,80,180,140,N
80,180,130,80,190,N
130,80,190,130,80,N
190,130,80,180,140,N
80,80,100,140,130,N
130,80,80,110,80,N
190,130,90,180,130,N
90,80,80,70,110,VFL
80,90,70,80,60,VFL
140,130,110,160,90,N
80,90,100,170,130,N
80,190,130,80,80,N
110,130,130,140,90,N
150,80,90,80,170,VFL
130,80,80,60,80,VFL
90,170,130,90,80,N
40,190,140,130,80,N
180,140,80,70,110,N
130,140,130,80,180,N
140,90,170,140,80,N
180,130,80,190,130,N
80,160,160,130,80,N
80,80,160,130,140,N
130,130,120,150,140,N
80,180,140,130,130,N
130,130,140,80,180,N
140,80,180,140,70,N
130,130,140,90,180,N
130,80,180,130,90,N
180,140,80,180,140,N
80,70,110,140,130,N
80,70,80,70,80,VFL
70,70,90,40,80,VFL
140,120,140,130,90,N
170,130,140,100,160,N
130,80,180,130,140,N
120,100,70,90,140,N
90,170,130,150,80,N
40,130,140,80,180,N
130,130,110,160,130,N
80,180,130,130,140,N
90,170,130,140,130,N
130,130,130,130,140,N
130,130,140,90,170,N
130,130,140,130,130,N
130,130,130,80,190,N
130,140,130,80,80,N
80,160,140,80,170,N
140,130,130,130,140,N
80,70,80,70,80,VFL
60,70,70,70,70,VFL
70,90,90,70,70,VFL
120,130,30,70,50,VFL
110,130,130,130,130,N
80,50,140,130,80,N
150,160,130,90,180,N
130,140,120,130,130,N
130,130,130,130,130,N
130,140,130,130,130,N
130,130,140,130,90,N
170,140,80,180,130,N
70,170,130,80,70,N
80,70,90,80,40,N
150,130,80,80,100,N
90,180,130,80,180,N
140,70,190,90,170,N
130,80,180,130,80,N
80,110,90,170,140,N
70,190,130,80,70,N
110,140,130,100,170,N
120,80,70,110,100,N
170,130,80,180,140,N
80,180,130,80,70,N
120,130,130,140,80,N
180,140,80,180,140,N
140,110,140,130,130,N
80,180,130,90,180,N
130,80,180,130,90,N
70,70,170,140,80,N
180,130,80,180,140,N
80,80,100,140,130,N
100,160,130,80,80,N
100,140,130,100,170,N
130,80,70,120,130,N
80,180,130,140,130,N
70,110,80,70,70,VFL
100,80,130,130,130,VFL
130,80,70,80,90,VFL
90,70,70,110,80,VFL
90,80,70,100,80,VFL
70,70,50,120,140,VFL
80,80,70,90,80,VFL
130,130,130,130,90,VFL
70,80,70,70,150,VFL
30,100,80,70,70,VFL
70,90,80,70,70,VFL
80,70,60,120,60,VFL
80,70,70,70,70,VFL
80,80,70,70,70,VFL
100,80,180,140,120,N
80,180,140,80,180,N
130,130,140,130,80,N
180,130,80,180,130,N
130,140,130,130,130,N
130,130,90,170,130,N
140,130,130,130,130,N
130,90,180,130,140,N
120,140,130,130,130,N
130,130,130,80,80,N
100,140,70,80,110,N
80,180,130,80,190,N
130,80,180,130,130,N
130,80,180,140,90,N
170,130,130,100,160,N
140,80,180,80,180,N
130,80,180,130,80,N
70,110,140,130,130,N
80,180,130,130,110,N
150,130,80,70,110,N
90,170,130,80,180,N
140,80,70,110,140,N
120,140,80,180,130,N
140,90,160,140,80,N
70,110,90,170,140,N
70,180,130,80,70,N
110,140,130,130,80,N
180,140,130,100,160,N
130,80,70,110,90,N
180,130,80,70,110,N
90,170,140,80,180,N
90,170,130,80,180,N
80,80,70,70,100,VFL
150,70,140,70,70,VFL
80,70,70,80,80,VFL
80,70,70,100,40,VFL
70,80,70,70,80,VFL
70,140,120,140,120,VFL
100,170,130,130,130,N
130,90,170,140,130,N
130,130,140,120,90,N
170,140,80,190,70,N
180,100,160,140,80,N
70,110,130,130,100,N
80,70,70,70,60,VFL
60,90,70,70,70,VFL
70,60,60,70,90,VFL
40,100,40,90,40,VFL
70,70,80,70,140,VFL
140,70,60,70,70,VFL
140,60,80,50,50,VFL
80,80,70,70,70,VFL
180,130,140,130,130,N
80,180,130,130,80,N
180,140,130,130,130,N
130,130,100,160,130,N
90,150,80,80,80,VFL
70,80,70,80,80,VFL
70,70,90,90,70,VFL
70,80,80,110,80,VFL
140,130,130,130,80,N
180,130,140,80,170,N
130,130,130,140,80,N
180,130,130,80,170,N
140,130,130,130,80,N
180,140,80,170,140,N
130,130,130,80,180,N
140,130,130,130,130,N
140,80,180,130,130,N
100,160,130,90,180,N
70,90,80,70,70,VFL
120,80,80,80,80,VFL
130,140,80,170,140,N
130,140,130,80,180,N
130,130,140,130,130,N
130,90,170,130,130,N
140,130,80,180,140,N
130,130,130,130,140,N
130,130,130,130,90,N
180,130,130,130,130,N
130,130,140,130,130,N
130,130,140,80,180,N
130,140,130,130,80,N
180,130,90,180,130,N
140,130,130,130,140,N
120,90,180,130,130,N
130,130,140,130,130,N
130,90,170,140,130,N
130,130,140,130,130,N
130,130,130,130,140,N
130,130,130,130,130,N
140,130,130,130,130,N
130,130,140,130,130,N
130,130,140,130,130,N
90,80,70,80,90,VFL
80,80,80,70,80,VFL
80,140,70,110,80,VFL
80,70,100,90,70,VFL
80,70,80,80,70,VFL
80,90,70,80,80,VFL
80,80,80,70,80,VFL
90,80,120,90,80,VFL
120,120,130,90,170,N
130,140,130,130,90,N
170,130,130,130,140,N
80,180,130,130,130,N
130,90,170,130,140,N
130,130,80,180,130,N
130,130,130,140,130,N
130,130,130,130,80,N
180,130,130,140,90,N
160,140,130,130,130,N
80,70,160,80,80,VFL
70,70,110,150,80,VFL
100,140,130,130,130,N
80,180,130,140,130,N
130,90,170,140,140,N
130,100,80,70,140,N
130,130,90,180,130,N
130,130,130,80,180,N
140,130,130,140,130,N
130,130,130,140,130,N
130,130,130,140,130,N
130,80,180,140,130,N
150,80,180,130,140,N
130,130,130,130,90,N
170,140,130,140,130,N
130,130,130,130,130,N
130,140,130,130,130,N
160,120,110,140,80,N
80,50,180,140,80,N
190,130,130,140,130,N
90,170,140,130,130,N
130,140,130,140,130,N
170,130,130,130,130,N
130,140,130,140,130,N
130,130,130,140,130,N
140,120,140,130,140,N
130,130,140,80,170,N
140,130,140,130,80,N
180,140,130,130,130,N
90,180,140,130,130,N
130,80,190,130,140,N
130,70,140,180,140,N
130,140,130,80,180,N
140,130,130,140,80,N
180,140,130,80,180,N
140,130,80,180,140,N
130,140,80,170,140,N
130,90,180,140,130,N
80,180,130,140,80,N
170,140,140,80,180,N
140,140,80,180,140,N
130,80,180,140,130,N
80,180,140,140,80,N
180,140,130,80,180,N
90,80,70,150,90,VFL
80,80,50,110,80,VFL
100,40,90,90,170,N
140,130,90,180,30,N
100,130,90,170,140,N
130,90,50,130,130,N
140,80,180,140,130,N
80,180,140,130,80,N
180,130,140,80,180,N
140,130,90,180,140,N
130,80,180,140,130,N
80,180,140,130,80,N
180,130,140,80,180,N
140,130,80,80,70,N
150,50,100,140,130,N
80,180,140,130,80,N
70,80,100,100,80,VFL
80,100,100,80,80,VFL
110,100,80,80,130,VFL
40,130,80,100,180,VFL
180,130,130,90,170,N
140,130,90,180,130,N
130,90,170,140,130,N
80,190,140,130,80,N
170,140,130,90,180,N
130,130,80,180,140,N
130,80,180,140,130,N
130,140,80,180,130,N
140,80,180,140,130,N
80,180,130,140,120,N
140,130,140,130,80,N
170,140,140,130,130,N
80,170,140,130,130,N
130,80,180,140,130,N
140,130,90,170,130,N
130,140,130,130,140,N
80,170,140,130,140,N
130,90,170,130,140,N
130,130,80,180,140,N
130,130,130,80,180,N
140,130,130,130,90,N
180,140,130,130,140,N
130,130,80,180,140,N
130,130,130,130,130,N
90,170,140,130,130,N
140,130,130,80,180,N
140,130,140,130,80,N
180,140,130,130,140,N
120,140,80,180,140,N
130,130,130,130,140,N
130,130,80,180,140,N
130,130,130,130,140,N
130,130,90,170,140,N
130,130,130,140,130,N
130,130,90,50,120,N
140,130,130,140,130,N
130,140,130,130,70,N
60,130,140,130,130,N
140,120,90,170,140,N
140,130,130,130,140,N
130,140,130,130,80,N
180,130,140,130,140,N
130,120,140,130,140,N
130,130,140,130,130,N
140,130,140,130,140,N
130,130,130,130,140,N
130,140,130,130,130,N
130,140,130,80,180,N
140,130,130,130,130,N
70,70,130,130,130,N
130,140,130,130,130,N
80,170,140,130,140,N
130,140,120,140,120,N
130,140,80,180,130,N
130,130,130,130,140,N
130,70,60,130,130,N
140,130,130,130,130,N
130,80,180,130,130,N
140,130,130,130,130,N
140,130,140,120,140,N
130,130,130,70,60,N
140,130,130,130,130,N
130,80,180,140,130,N
130,130,140,130,130,N
130,130,130,140,130,N
130,130,90,170,140,N
130,130,130,140,70,N
60,70,60,130,140,N
130,130,140,130,130,N
130,130,140,130,130,N
130,140,130,130,130,N
80,180,140,130,130,N
130,140,130,130,130,N
140,120,90,170,140,N
140,130,130,130,130,N
130,130,140,130,130,N
130,130,130,140,130,N
130,130,90,170,140,N
130,130,130,140,130,N
130,130,130,130,140,N
130,130,130,130,130,N
130,140,130,130,80,N
180,140,130,130,130,N
130,130,130,80,60,N
130,130,130,130,140,N
130,130,130,140,130,N
130,130,130,130,140,N
130,130,140,130,130,N
130,130,140,130,130,N
130,130,130,140,130,N
130,130,130,130,140,N
130,130,130,130,130,N
130,130,130,140,130,N
130,140,130,130,130,N
130,140,130,130,130,N
130,130,140,130,140,N
130,130,140,60,200,N
130,140,130,130,130,N
130,140,130,130,140,N
130,140,130,130,130,N
140,130,130,130,130,N
130,140,130,130,140,N
120,140,130,130,140,N
130,130,130,130,130,N
140,130,130,140,130,N
130,130,130,130,140,N
130,130,130,140,130,N
130,140,130,130,130,N
130,140,130,130,130,N
140,130,130,130,130,N
140,130,130,130,130,N
130,130,130,130,140,N
130,130,130,130,140,N
130,130,140,130,130,N
130,130,140,130,130,N
140,130,130,130,130,N
130,140,130,130,130,N
140,130,130,130,130,N
140,130,130,140,130,N
130,130,140,130,130,N
130,140,130,130,130,N
130,140,130,130,140,N
130,130,130,130,140,N
70,60,140,130,130,N
130,140,130,130,130,N
130,130,130,140,130,N
140,130,130,130,130,N
140,130,140,130,130,N
130,130,130,140,130,N
140,130,130,130,130,N
130,130,140,140,120,N
140,130,130,130,140,N
130,130,130,130,130,N
140,130,130,130,140,N
130,130,130,140,120,N
80,60,130,130,140,N
120,140,130,130,140,N
130,160,100,140,130,N
130,130,140,130,130,N
130,130,140,130,130,N
130,130,140,130,130,N
130,130,140,130,130,N
130,140,130,130,130,N
130,140,130,130,130,N
130,130,140,130,130,N
140,130,130,130,140,N
130,130,140,130,130,N
130,140,130,130,130,N
130,130,130,130,130,N
140,140,130,130,130,N
130,130,130,130,130,N
130,130,140,130,130,N
130,130,130,130,130,N
130,130,130,140,130,N
130,130,130,130,70,N
70,130,130,130,130,N
130,130,130,140,130,N
130,130,130,130,130,N
130,140,130,130,130,N
130,130,130,130,140,N
120,140,130,130,130,N
170,100,130,130,130,N
130,140,130,130,120,N
140,120,140,130,130,N
140,130,130,130,130,N
140,130,140,130,130,N
130,130,130,130,140,N
130,130,130,130,130,N
130,140,130,130,130,N
140,130,130,140,130,N
130,130,130,130,130,N
140,130,130,130,130,N
130,140,130,130,130,N
130,140,130,130,130,N
140,130,130,130,130,N
140,120,140,130,130,N
130,130,130,130,140,N
130,130,140,130,130,N
140,130,130,130,70,N
60,130,130,140,130,N
130,130,130,130,140,N
70,60,130,130,130,N
70,60,130,140,130,N
130,140,130,130,130,N
130,130,140,130,130,N
130,130,140,130,130,N
130,140,130,130,130,N
130,140,130,130,130,N
130,140,130,130,130,N
140,130,130,130,130,N
130,140,130,130,130,N
130,130,130,130,140,N
130,130,130,130,140,N
130,130,130,140,130,N
130,130,130,140,130,N
130,130,130,130,140,N
130,130,130,130,130,N
140,130,130,130,130,N
130,140,130,130,140,N
130,130,130,130,130,N
130,130,140,130,130,N
130,130,140,130,70,N
194,145,82,197,142,N
87,190,145,82,194,N
142,83,199,141,82,N
190,142,82,200,142,N
83,194,145,81,196,N
144,84,193,141,83,N
196,140,81,200,143,N
82,195,142,82,199,N
140,82,197,143,83,N
199,144,141,89,78,N
79,169,145,82,195,N
143,79,195,141,82,N
45,163,139,83,85,N
157,74,77,114,103,N
151,140,141,142,140,N
142,136,140,138,141,N
143,140,140,138,86,N
192,140,82,200,140,N
82,191,143,81,203,N
143,76,77,72,96,N
80,196,141,145,88,N
191,139,80,198,141,N
141,141,139,143,144,N
93,130,193,142,80,N
142,140,140,140,140,N
143,140,140,75,197,N
145,80,199,142,139,N
144,139,141,139,77,N
198,142,80,201,140,N
141,136,140,141,139,N
80,198,143,140,137,N
141,141,81,198,144,N
140,138,140,110,169,N
142,138,138,137,143,N
142,137,136,138,174,N
90,187,104,144,170,N
137,135,107,143,117,N
194,135,137,141,139,N
138,48,192,176,137,N
138,140,106,177,135,N
138,139,137,141,141,N
139,141,139,142,142,N
141,140,139,139,108,N
172,143,143,140,144,N
141,143,114,178,142,N
138,142,142,144,145,N
146,141,143,142,143,N
148,142,146,140,142,N
148,142,146,147,143,N
146,144,146,146,142,N
143,143,144,145,144,N
145,147,110,144,175,N
115,183,146,144,112,N
176,111,148,181,146,N
113,174,112,146,178,N
145,113,147,145,144,N
145,146,146,146,144,N
147,146,144,146,143,N
144,146,145,149,148,N
145,143,144,146,153,N
146,146,146,143,146,N
145,147,148,145,147,N
145,178,115,147,144,N
145,146,146,149,143,N
146,146,143,147,151,N
149,145,144,144,147,N
146,150,150,146,147,N
143,148,149,147,148,N
147,146,148,145,145,N
151,149,147,148,151,N
150,148,147,148,150,N
146,153,152,145,146,N
145,153,153,149,148,N
150,147,147,151,150,N
150,150,149,149,150,N
145,151,148,149,151,N
148,150,149,149,149,N
151,154,152,150,146,N
148,151,151,151,154,N
149,149,150,153,152,N
152,149,151,151,414,N
169,157,154,156,157,N
155,152,158,152,260,N
174,161,162,153,159,N
163,263,270,175,165,N
166,156,159,409,171,N
160,158,159,152,160,N
160,150,170,380,170,N
170,160,160,160,160,N
280,280,170,170,430,N
170,170,290,180,270,N
290,180,170,280,190,N
280,180,280,180,270,N
180,170,280,300,300,N
180,280,300,300,300,N
310,180,280,180,280,N
180,270,180,270,300,N
300,310,180,260,310,N
300,300,300,300,300,N
300,300,190,270,300,N
300,190,260,300,180,N
270,180,270,180,270,N
170,280,180,260,180,N
280,170,270,180,270,N
170,270,180,270,180,N
260,180,280,170,270,N
180,270,170,270,180,N
260,180,160,260,170,N
160,270,160,160,270,N
170,160,260,170,160,N
150,260,170,150,160,N
150,160,250,160,160,N
150,150,150,140,150,N
150,150,140,150,150,N
140,150,150,150,140,N
150,140,150,150,140,N
150,150,140,150,140,N
150,140,150,140,150,N
80,200,150,150,150,N
140,150,140,150,150,N
140,150,130,160,150,N
140,150,140,150,140,N
90,200,150,150,140,N
150,150,140,150,150,N
140,150,140,150,150,N
140,150,140,90,200,N
150,140,150,140,150,N
150,140,150,140,150,N
140,150,150,140,150,N
140,140,150,80,210,N
150,140,140,150,150,N
140,90,150,200,140,N
60,60,150,80,60,VFL
60,60,110,60,60,VFL
60,180,230,60,120,VFL
60,60,120,60,60,VFL
120,60,120,110,120,VFL
60,60,120,60,60,VFL
50,60,120,60,60,VFL
110,60,60,120,60,VFL
60,60,60,60,70,VFL
60,60,60,60,60,VFL
60,130,60,60,60,VFL
60,120,70,60,60,VFL
130,60,60,70,60,VFL
70,60,60,60,60,VFL
70,60,60,60,70,VFL
60,70,60,70,60,VFL
60,70,60,60,60,VFL
60,70,60,60,70,VFL
60,70,60,70,60,VFL
70,60,70,60,70,VFL
60,70,60,70,60,VFL
70,60,70,60,70,VFL
70,60,60,140,60,VFL
70,60,70,60,70,VFL
70,60,70,60,70,VFL
70,60,70,70,70,VFL
60,70,70,70,70,VFL
70,60,70,60,70,VFL
70,70,70,130,70,VFL
70,70,70,70,70,VFL
140,210,60,70,70,VFL
70,70,70,110,90,VFL
80,70,70,70,70,VFL
70,70,70,60,70,VFL
70,350,70,80,140,VFL
70,80,70,70,70,VFL
150,50,180,50,100,VFL
70,110,80,90,60,VFL
110,80,80,70,80,VFL
70,140,90,80,80,VFL
80,160,130,150,60,VFL
70,80,150,30,200,VFL
90,70,180,110,160,VFL
70,80,140,180,70,VFL
50,80,80,150,70,VFL
70,160,30,2260,1160,VFL
70,330,230,110,380,VFL
210,150,190,180,170,VFL
190,130,220,350,350,VFL
190,160,200,150,190,VFL
150,210,140,180,150,VFL
330,340,240,100,340,VFL
330,330,340,460,50,VFL
350,310,340,330,370,VFL
