@RELATION segments

@ATTRIBUTE seg-0 REAL
@ATTRIBUTE seg-1 REAL
@ATTRIBUTE seg-2 REAL
@ATTRIBUTE seg-3 REAL
@ATTRIBUTE seg-4 REAL
@ATTRIBUTE class {AFIB,B-VT-VF-VFL-ASYS,BI,HGEA-N-NOD-PM-SBR-VER,SVTA}

@DATA
189,140,134,135,133,HGEA-N-NOD-PM-SBR-VER
89,83,115,83,167,HGEA-N-NOD-PM-SBR-VER
138,82,186,136,88,HGEA-N-NOD-PM-SBR-VER
178,135,84,182,141,HGEA-N-NOD-PM-SBR-VER
136,134,137,136,135,HGEA-N-NOD-PM-SBR-VER
78,188,139,139,136,HGEA-N-NOD-PM-SBR-VER
135,136,132,137,83,HGEA-N-NOD-PM-SBR-VER
183,140,87,182,138,HGEA-N-NOD-PM-SBR-VER
135,137,134,135,136,HGEA-N-NOD-PM-SBR-VER
81,190,136,134,136,HGEA-N-NOD-PM-SBR-VER
136,138,78,84,78,HGEA-N-NOD-PM-SBR-VER
163,140,80,78,112,HGEA-N-NOD-PM-SBR-VER
142,131,82,190,138,HGEA-N-NOD-PM-SBR-VER
139,134,137,133,134,HGEA-N-NOD-PM-SBR-VER
135,87,187,138,81,HGEA-N-NOD-PM-SBR-VER
186,139,80,187,139,HGEA-N-NOD-PM-SBR-VER
81,191,139,78,189,HGEA-N-NOD-PM-SBR-VER
139,88,186,139,79,HGEA-N-NOD-PM-SBR-VER
186,138,78,188,139,HGEA-N-NOD-PM-SBR-VER
81,188,142,77,194,HGEA-N-NOD-PM-SBR-VER
141,79,190,139,80,HGEA-N-NOD-PM-SBR-VER
187,139,78,190,175,HGEA-N-NOD-PM-SBR-VER
41,192,139,80,195,HGEA-N-NOD-PM-SBR-VER
142,77,191,139,78,HGEA-N-NOD-PM-SBR-VER
192,140,80,193,137,HGEA-N-NOD-PM-SBR-VER
77,188,139,79,194,HGEA-N-NOD-PM-SBR-VER
139,80,189,140,80,HGEA-N-NOD-PM-SBR-VER
188,142,81,194,141,HGEA-N-NOD-PM-SBR-VER
79,190,142,79,75,HGEA-N-NOD-PM-SBR-VER
118,136,135,137,137,HGEA-N-NOD-PM-SBR-VER
137,138,137,133,82,HGEA-N-NOD-PM-SBR-VER
185,143,140,138,136,HGEA-N-NOD-PM-SBR-VER
88,177,139,136,138,HGEA-N-NOD-PM-SBR-VER
137,82,186,140,132,HGEA-N-NOD-PM-SBR-VER
135,138,84,192,138,HGEA-N-NOD-PM-SBR-VER
135,136,133,82,189,HGEA-N-NOD-PM-SBR-VER
144,136,88,178,141,HGEA-N-NOD-PM-SBR-VER
139,138,137,80,185,HGEA-N-NOD-PM-SBR-VER
141,134,86,184,141,HGEA-N-NOD-PM-SBR-VER
133,87,179,142,135,HGEA-N-NOD-PM-SBR-VER
137,136,86,180,139,HGEA-N-NOD-PM-SBR-VER
132,87,185,143,133,HGEA-N-NOD-PM-SBR-VER
93,174,140,137,87,HGEA-N-NOD-PM-SBR-VER
182,139,136,135,132,HGEA-N-NOD-PM-SBR-VER
83,186,141,134,88,HGEA-N-NOD-PM-SBR-VER
183,140,136,88,182,HGEA-N-NOD-PM-SBR-VER
139,135,136,134,97,HGEA-N-NOD-PM-SBR-VER
43,129,139,134,84,HGEA-N-NOD-PM-SBR-VER
180,140,137,90,180,HGEA-N-NOD-PM-SBR-VER
136,133,136,137,104,HGEA-N-NOD-PM-SBR-VER
169,141,134,87,180,HGEA-N-NOD-PM-SBR-VER
140,137,134,137,133,HGEA-N-NOD-PM-SBR-VER
134,134,134,138,136,HGEA-N-NOD-PM-SBR-VER
139,133,136,134,135,HGEA-N-NOD-PM-SBR-VER
138,137,138,133,136,HGEA-N-NOD-PM-SBR-VER
136,136,139,134,137,HGEA-N-NOD-PM-SBR-VER
133,133,133,135,137,HGEA-N-NOD-PM-SBR-VER
139,135,135,136,135,HGEA-N-NOD-PM-SBR-VER
137,134,139,139,134,HGEA-N-NOD-PM-SBR-VER
134,132,137,138,138,HGEA-N-NOD-PM-SBR-VER
135,135,133,132,135,HGEA-N-NOD-PM-SBR-VER
135,135,138,131,136,HGEA-N-NOD-PM-SBR-VER
134,133,135,136,136,HGEA-N-NOD-PM-SBR-VER
137,133,136,136,131,HGEA-N-NOD-PM-SBR-VER
137,137,136,134,133,HGEA-N-NOD-PM-SBR-VER
135,136,139,135,134,HGEA-N-NOD-PM-SBR-VER
132,136,137,132,134,HGEA-N-NOD-PM-SBR-VER
135,136,134,134,135,HGEA-N-NOD-PM-SBR-VER
138,140,135,136,131,HGEA-N-NOD-PM-SBR-VER
133,133,132,135,137,HGEA-N-NOD-PM-SBR-VER
136,134,132,131,135,HGEA-N-NOD-PM-SBR-VER
139,136,135,132,137,HGEA-N-NOD-PM-SBR-VER
134,136,136,136,139,HGEA-N-NOD-PM-SBR-VER
136,133,135,135,138,HGEA-N-NOD-PM-SBR-VER
132,137,131,135,136,HGEA-N-NOD-PM-SBR-VER
133,137,136,137,131,HGEA-N-NOD-PM-SBR-VER
135,135,137,140,136,HGEA-N-NOD-PM-SBR-VER
